[02:04:45.366] "<02:04:45.355><11951.984546> \nGenotype received from s3 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\"}",
[02:12:32.557] "<02:12:32.556><73054.27> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:37.561] "<02:12:37.561><484118.813969> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:37.561] "<02:12:37.561><484120.072391> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:37.561] "<02:12:37.560><78056.31000000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:42.560] "<02:12:42.560><489118.406536> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:42.560] "<02:12:42.560><489119.363529> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:12:42.560] "<02:12:42.559><83055.05> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:47.567] "<02:12:47.565><494119.804125> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:47.568] "<02:12:47.566><494120.727362> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:12:47.569] "<02:12:47.563><88057.34500000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:52.557] "<02:12:52.557><499113.750672> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:52.557] "<02:12:52.557><499114.9327> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:12:52.557] "<02:12:52.556><93051.02> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:12:57.560] "<02:12:57.560><504116.364636> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:12:57.560] "<02:12:57.560><504115.651037> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:12:57.560] "<02:12:57.559><98052.895> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:02.556] "<02:13:02.555><103049.05> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:02.556] "<02:13:02.556><509112.037441> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:02.556] "<02:13:02.556><509112.873626> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:13:07.560] "<02:13:07.560><514115.257817> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:07.560] "<02:13:07.559><108053.01000000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:07.560] "<02:13:07.560><514116.159735> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:13:12.558] "<02:13:12.558><519112.844016> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:12.558] "<02:13:12.558><519113.368111> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:12.558] "<02:13:12.557><113050.49> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:17.558] "<02:13:17.558><524112.704849> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:17.558] "<02:13:17.558><524113.590778> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:17.558] "<02:13:17.557><118050.29000000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:22.561] "<02:13:22.558><123048.56000000001> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:22.563] "<02:13:22.560><529112.019083> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:22.563] "<02:13:22.561><529112.951204> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:27.565] "<02:13:27.565><128056.115> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:27.565] "<02:13:27.565><534119.540004> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:27.565] "<02:13:27.565><534120.758156> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:32.566] "<02:13:32.566><539120.599447> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:13:32.566] "<02:13:32.566><539119.249827> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:32.566] "<02:13:32.566><133056.845> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:37.559] "<02:13:37.559><544111.402605> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:37.559] "<02:13:37.558><138048.55500000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:37.559] "<02:13:37.559><544112.267214> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:42.565] "<02:13:42.565><549116.34154> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:42.565] "<02:13:42.565><549117.194306> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:42.565] "<02:13:42.564><143053.89> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:47.564] "<02:13:47.564><554116.393061> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:47.564] "<02:13:47.564><554117.441253> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:47.564] "<02:13:47.563><148053.52000000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:52.567] "<02:13:52.567><559118.593079> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:52.567] "<02:13:52.567><559119.445252> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:13:52.567] "<02:13:52.567><153056.475> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:13:57.564] "<02:13:57.564><564115.011462> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:13:57.564] "<02:13:57.564><564115.861859> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:13:57.564] "<02:13:57.564><158052.615> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:02.563] "<02:14:02.563><569113.549324> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:02.563] "<02:14:02.563><569114.39676> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:02.563] "<02:14:02.563><163051.39> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:07.567] "<02:14:07.567><574116.757263> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:07.567] "<02:14:07.567><574117.454873> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:14:07.567] "<02:14:07.567><168053.98500000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:12.564] "<02:14:12.564><579113.957941> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:12.564] "<02:14:12.564><579114.930331> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:12.564] "<02:14:12.564><173051.77500000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:17.568] "<02:14:17.568><584117.557324> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:17.568] "<02:14:17.568><584118.413643> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:17.568] "<02:14:17.568><178054.69000000003> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:22.570] "<02:14:22.570><589118.905167> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:22.570] "<02:14:22.570><589119.693383> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:22.570] "<02:14:22.570><183055.855> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:27.563] "<02:14:27.563><594111.82958> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:27.563] "<02:14:27.563><594112.992658> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:14:27.563] "<02:14:27.563><188049.495> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:32.562] "<02:14:32.562><599110.995764> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:32.562] "<02:14:32.562><599111.81892> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:32.562] "<02:14:32.562><193048.45> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:37.563] "<02:14:37.563><604111.171055> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:37.563] "<02:14:37.563><604112.000725> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:14:37.563] "<02:14:37.563><198048.495> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:42.564] "<02:14:42.564><609111.534073> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:42.564] "<02:14:42.564><609112.569828> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:42.564] "<02:14:42.564><203048.56500000003> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:47.565] "<02:14:47.565><614111.240342> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:47.565] "<02:14:47.565><614111.752002> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:14:47.565] "<02:14:47.565><208048.76> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:14:52.569] "<02:14:52.569><619115.318813> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:52.569] "<02:14:52.569><619116.451097> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:14:52.569] "<02:14:52.569><213053.02500000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:57.571] "<02:14:57.571><624117.274253> \nGenotype received from s20 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:14:57.581] "<02:14:57.571><624118.93004> Genotype sends to s20 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\",\"genotype\":70}",
[02:14:57.581] "<02:14:57.572><218054.43000000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s20\"}",
[02:15:02.573] "<02:15:02.573><629118.831735> \nGenotype received from s20 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:15:02.573] "<02:15:02.573><629119.672064> Genotype sends to s20 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\",\"genotype\":6}",
[02:15:02.573] "<02:15:02.574><223056.30500000002> \n%%% g-proxy s20 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s20\"}",
[02:15:09.888] "<02:15:09.888><636436.625582> \nGenotype received from s34 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s34\"}",
[02:15:09.888] "<02:15:09.888><636437.545859> Genotype sends to s34 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s34\",\"genotype\":6}",
[02:15:09.898] "<02:15:09.889><7134.8550000000005> \n%%% g-proxy s34 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s34\"}",
[02:15:09.898] "<02:15:09.899><7144.345> producer s34 received GENOTYPE",
[02:15:09.932] "<02:15:09.889><7137.395> g-proxy s34 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s34\",\"genotype\":6}",
[02:15:11.921] "<02:15:11.921><638465.642124> \nGenotype received from s35 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s35\"}",
[02:15:11.921] "<02:15:11.921><638466.35217> Genotype sends to s35 generated genotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s35\",\"genotype\":15}",
[02:15:11.921] "<02:15:11.922><9163.41> \n%%% g-proxy s35 sends to Genotype g-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s35\"}",
[02:15:11.931] "<02:15:11.932><9175.255> g-proxy s35 receives Genotype g-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s35\",\"genotype\":15}",
[02:15:11.931] "<02:15:11.932><9177.755000000001> producer s35 received GENOTYPE",
[02:15:12.649] "<02:15:12.649><639195.689032> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:12.649] "<02:15:12.649><639196.80355> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:12.649] "<02:15:12.650><9892.61> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:12.664] "<02:15:12.664><9904.745> producer s29 received GENOTYPE",
[02:15:12.674] "<02:15:12.672><639215.544263> Phenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:12.674] "<02:15:12.673><639216.254901> Phenotype sends to s29 generated phenotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70,\"phenotype\":140}",
[02:15:12.675] "<02:15:12.673><9913.490000000002> %%% p-proxy s29 sends to Phenotype p-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:12.675] "<02:15:12.661><9901.580000000002> g-proxy s29 receives Genotype g-ch msg = {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:12.676] "<02:15:12.674><9915.220000000001> p-proxy s29 receives Phenotype p-ch msg = {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70,\"phenotype\":140}",
[02:15:12.678] "<02:15:12.677><9917.715000000002> producer s29 received PHENOTYPE",
[02:15:13.953] "<02:15:13.953><640498.218371> Phenotype received from s36 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s36\"}",
[02:15:13.953] "<02:15:13.953><640499.316307> Phenotype sends to s36 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s36\",\"phenotype\":3}",
[02:15:13.953] "<02:15:13.954><11196.010000000002> %%% p-proxy s36 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s36\"}",
[02:15:13.963] "<02:15:13.964><11204.890000000001> producer s36 received PHENOTYPE",
[02:15:14.014] "<02:15:13.954><11200.090000000002> p-proxy s36 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s36\",\"phenotype\":3}",
[02:15:15.983] "<02:15:15.984><13226.585000000001> %%% p-proxy s37 sends to Phenotype p-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s37\"}",
[02:15:15.983] "<02:15:15.983><642529.333664> Phenotype received from s37 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s37\"}",
[02:15:15.983] "<02:15:15.983><642530.16748> Phenotype sends to s37 generated phenotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s37\",\"phenotype\":30}",
[02:15:15.983] "<02:15:15.984><13229.310000000001> p-proxy s37 receives Phenotype p-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s37\",\"phenotype\":30}",
[02:15:15.993] "<02:15:15.984><13232.77> producer s37 received PHENOTYPE",
[02:15:17.654] "<02:15:17.654><644198.564748> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:17.654] "<02:15:17.654><644199.042652> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:17.654] "<02:15:17.655><14896.24> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:22.656] "<02:15:22.656><649199.654393> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:22.656] "<02:15:22.656><649200.187964> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:22.656] "<02:15:22.657><19897.780000000002> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:27.675] "<02:15:27.674><654215.945774> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:27.676] "<02:15:27.674><24914.050000000003> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:27.676] "<02:15:27.675><654216.641015> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:32.652] "<02:15:32.652><659195.956114> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:32.652] "<02:15:32.652><659196.778085> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:32.652] "<02:15:32.653><29893.9> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:37.655] "<02:15:37.655><664199.500422> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:15:37.655] "<02:15:37.655><664200.446163> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:15:37.655] "<02:15:37.656><34896.51000000001> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:15:42.658] "<02:15:42.658><669200.733971> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:15:42.658] "<02:15:42.658><669201.528701> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:15:42.658] "<02:15:42.659><39898.450000000004> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:15:47.650] "<02:15:47.650><674192.88971> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:47.650] "<02:15:47.651><44890.605> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:15:47.650] "<02:15:47.650><674195.758911> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:52.652] "<02:15:52.652><679193.252727> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:15:52.652] "<02:15:52.652><49890.75000000001> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:15:52.652] "<02:15:52.652><679194.300327> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:15:57.655] "<02:15:57.655><684195.355624> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
